,period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
178,2024-11-07,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1202718,megawatthours
179,2024-11-07,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1208273,megawatthours
180,2024-11-07,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1210258,megawatthours
181,2024-11-07,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Arizona,Arizona,-3144,megawatthours
182,2024-11-07,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,-3084,megawatthours
183,2024-11-07,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,-3131,megawatthours
184,2024-11-07,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Mountain,Mountain,-3144,megawatthours
185,2024-11-07,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Pacific,Pacific,-3386,megawatthours
186,2024-11-06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1126117,megawatthours
187,2024-11-06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1123771,megawatthours
188,2024-11-06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1122221,megawatthours
189,2024-11-06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1126117,megawatthours
190,2024-11-06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1128595,megawatthours
191,2024-11-06,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1141116,megawatthours
192,2024-11-06,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1138733,megawatthours
193,2024-11-06,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1135614,megawatthours
194,2024-11-06,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1141116,megawatthours
195,2024-11-06,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1143633,megawatthours
196,2024-11-06,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1123238,megawatthours
197,2024-11-06,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1120801,megawatthours
